Gene_Tag	ME	Syn	PA	Sites	Codons
Rv0929	8	4	4	8	8
Rv0930	14	3	11	14	14
Rv0931c	38	9	29	38	36
Rv0932c	23	8	15	23	21
Rv0933	18	7	11	16	16
Rv0934	18	5	13	18	18
Rv0935	13	6	7	13	13
Rv0936	14	3	11	14	13
Rv0937c	8	1	7	8	8
Rv0938	40	12	28	39	39
Rv0939	23	8	15	23	23
Rv0940c	8	3	5	8	8
Rv0941c	6	2	4	6	6
Rv0942	5	0	5	5	5
Rv0943c	23	6	17	23	23
Rv0944	11	4	7	11	11
Rv0945	18	6	12	18	18
Rv0946c	20	12	8	20	20
Rv0948c	7	0	7	7	6
Rv0949	32	13	19	32	32
Rv0950c	17	6	11	17	17
Rv0951	17	9	8	17	17
Rv0952	22	13	9	21	21
Rv0953c	15	7	8	15	15
Rv0954	24	4	20	23	22
Rv0955	20	10	10	19	19
Rv0956	12	6	6	11	11
Rv0957	13	8	5	13	12
Rv0958	26	12	14	26	25
Rv0959	28	15	13	28	26
Rv0959A	3	0	3	3	3
Rv0960	5	3	2	5	5
Rv0961	10	2	8	10	9
Rv0962c	12	4	8	12	12
Rv0963c	16	3	13	16	16
Rv0964c	10	4	6	10	10
Rv0965c	6	3	3	5	5
Rv0966c	9	3	6	9	9
Rv0967	3	1	2	3	3
Rv0968	7	1	6	6	6
Rv0969	49	21	28	49	49
Rv0970	7	2	5	7	7
Rv0971c	6	1	5	6	6
Rv0972c	23	6	17	23	23
Rv0973c	42	11	31	41	41
Rv0974c	31	8	23	30	30
Rv0975c	16	5	11	16	16
Rv0976c	15	6	9	15	15
Rv0979c	6	2	4	5	5
Rv0979A	1	1	0	1	1
Rv0981	13	5	8	13	13
Rv0982	20	8	12	20	19
Rv0983	29	11	18	29	29
Rv0984	4	2	2	3	3
Rv0985c	8	3	5	8	8
Rv0986	14	10	4	14	13
Rv0987	63	15	48	62	62
Rv0988	42	10	32	40	38
Rv0989c	28	2	26	28	27
Rv0990c	18	4	14	18	18
Rv0991c	1	1	0	1	1
Rv0992c	10	2	8	10	9
Rv0993	8	2	6	8	8
Rv0994	19	10	9	19	19
Rv0995	14	1	13	14	13
Rv0996	18	6	12	18	16
Rv0997a	5	2	3	5	5
Rv0997	3	1	2	3	3
Rv0998	13	1	12	13	12
Rv0999	7	2	5	7	7
Rv1000c	4	0	4	4	4
Rv1001	15	3	12	15	15
Rv1002c	21	9	12	21	20
Rv1003	6	0	6	6	6
Rv1004c	17	5	12	17	17
Rv1005c	18	8	10	18	18
Rv1006	23	14	9	23	22
Rv1007c	17	9	8	17	17
Rv1008	12	6	6	12	12
Rv1009	14	3	11	14	14
Rv1010	14	4	10	13	13
Rv1011	13	1	12	13	13
Rv1012	5	0	5	5	5
Rv1013	17	7	10	17	17
Rv1014c	8	3	5	8	8
Rv1015c	4	1	3	4	4
Rv1016c	7	2	5	7	7
Rv1017c	12	8	4	12	12
Rv1018c	20	9	11	20	18
Rv1019	3	2	1	3	3
Rv1020	57	25	32	56	54
Rv1021	13	6	7	13	13
Rv1022	9	3	6	9	9
Rv1023	24	13	11	23	23
Rv1024	9	6	3	9	9
Rv1025	4	1	3	3	3
Rv1026	10	2	8	10	10
Rv1027c	10	4	6	9	9
Rv1028c	61	22	39	61	61
Rv1028A	2	0	2	2	2
Rv1029	24	12	12	24	23
Rv1030	28	11	17	26	26
Rv1031	10	5	5	10	10
Rv1032c	24	11	13	23	23
Rv1033c	10	4	6	10	10
Rv1037c	4	3	1	3	3
Rv1038c	13	12	1	2	2
Rv1043c	13	4	9	13	13
Rv1044	6	1	5	6	6
Rv1045	16	5	11	16	16
Rv1048c	18	4	14	17	16
Rv1049	9	3	6	9	8
Rv1050	14	5	9	14	14
Rv1051c	16	7	9	16	16
Rv1052	6	1	5	6	6
Rv1056	11	4	7	11	11
Rv1057	22	8	14	22	22
Rv1058	24	8	16	24	22
Rv1059	21	7	14	21	21
Rv1060	10	2	8	10	10
Rv1061	15	4	11	15	15
Rv1062	11	2	9	11	10
Rv1063c	16	8	8	16	16
Rv1064c	7	3	4	7	7
Rv1065	7	2	5	7	7
Rv1066	4	1	3	4	4
Rv1069c	32	12	20	32	31
Rv1070c	9	3	6	9	9
Rv1071c	13	2	11	13	12
Rv1072	7	2	5	7	7
Rv1073	17	6	11	17	17
Rv1074c	23	10	13	22	22
Rv1075c	23	7	16	23	23
Rv1076	22	3	19	22	21
Rv1077	27	11	16	26	26
Rv1078	6	3	3	6	5
Rv1079	15	6	9	15	15
Rv1080c	3	2	1	3	3
Rv1081c	4	1	3	4	4
Rv1082	12	4	8	12	12
Rv1083	2	1	1	2	2
Rv1084	27	9	18	27	26
Rv1085c	7	3	4	6	6
Rv1086	10	1	9	10	10
Rv1088a	3	1	2	3	3
Rv1092c	11	6	5	11	10
Rv1093	14	5	9	14	14
Rv1094	4	3	1	4	4
Rv1095	13	8	5	13	13
Rv1096	16	1	15	16	16
Rv1097c	16	4	12	16	15
Rv1098c	14	4	10	14	14
Rv1099c	18	9	9	18	18
Rv1100	10	4	6	10	10
Rv1101c	9	2	7	9	9
Rv1102c	2	0	2	2	2
Rv1103c	3	0	3	3	3
Rv1106c	16	8	8	16	16
Rv1107c	7	2	5	7	7
Rv1108c	22	10	12	22	22
Rv1109c	7	2	5	7	7
Rv1110	9	6	3	9	9
Rv1111c	9	3	6	9	8
Rv1112	15	5	10	15	15
Rv1114	4	3	1	4	4
Rv1115	10	4	6	10	10
Rv1116	1	0	1	1	1
Rv1117	8	2	6	8	7
Rv1118c	15	8	7	13	13
Rv1119c	1	0	1	1	1
Rv1120c	12	5	7	11	11
Rv1121	19	7	12	19	19
Rv1122	15	5	10	15	15
Rv1123c	19	7	12	19	19
Rv1124	13	5	8	13	13
Rv1125	17	6	11	17	17
Rv1126c	11	5	6	11	11
Rv1127c	25	16	9	25	25
Rv1129c	25	2	23	24	23
Rv1130	33	16	17	27	24
Rv1131	12	6	6	11	11
Rv1132	31	6	25	30	30
Rv1133c	21	16	5	21	21
Rv1134	1	0	1	1	1
Rv1138a	6	1	5	6	6
Rv1138c	13	3	10	13	12
Rv1139c	7	3	4	7	6
Rv1140	10	1	9	10	10
Rv1141c	11	5	6	11	11
Rv1142c	16	5	11	16	15
Rv1143	14	7	7	14	14
Rv1144	7	2	5	7	7
Rv1145	21	8	13	21	21
Rv1146	17	11	6	17	16
Rv1147	6	2	4	6	6
Rv1151c	8	4	4	8	8
Rv1152	5	0	5	5	5
Rv1153c	20	7	13	20	19
Rv1154c	13	2	11	13	13
Rv1155	10	4	6	10	10
Rv1155a	2	0	2	2	2
Rv1156	4	0	4	4	4
Rv1157c	13	9	4	13	13
Rv1158c	9	3	6	8	8
Rv1159	18	4	14	18	18
Rv1159A	3	1	2	3	3
Rv1160	7	2	5	7	7
Rv1161	55	28	27	53	48
Rv1162	22	10	12	22	22
Rv1163	7	5	2	7	6
Rv1164	11	5	6	11	10
Rv1165	23	12	11	23	23
Rv1166	29	14	15	28	28
Rv1167c	7	5	2	7	7
Rv1170	13	5	8	13	13
Rv1171	9	2	7	9	9
Rv1174c	6	1	5	6	6
Rv1175c	35	14	21	35	34
Rv1176c	4	1	3	4	4
Rv1177	1	1	0	1	1
Rv1178	26	7	19	26	25
Rv1179c	40	8	32	40	40
Rv1180	14	5	9	13	13
Rv1181	53	28	25	53	53
Rv1182	21	9	12	21	21
Rv1183	42	15	27	41	40
Rv1184c	21	8	13	21	20
Rv1185c	26	9	17	26	26
Rv1186c	26	12	14	25	25
Rv1187	18	8	10	18	18
Rv1188	25	10	15	25	23
Rv1189	11	1	10	11	11
Rv1190	9	5	4	9	9
Rv1191	17	8	9	17	16
Rv1192	10	4	6	10	10
Rv1193	17	6	11	17	17
Rv1194c	28	5	23	28	28
Rv1197	10	5	5	2	2
Rv1198	47	36	11	6	6
Rv1200	16	6	10	16	15
Rv1201c	12	7	5	11	11
Rv1202	8	4	4	8	8
Rv1203c	11	3	8	11	10
Rv1204c	22	4	18	22	22
Rv1205	6	4	2	6	6
Rv1206	20	11	9	19	19
Rv1207	17	8	9	17	17
Rv1208	10	6	4	10	9
Rv1209	7	5	2	7	7
Rv1210	7	3	4	7	7
Rv1211	4	2	2	4	4
Rv1212c	15	5	10	15	15
Rv1213	23	16	7	21	21
Rv1215c	43	5	38	42	41
Rv1216c	9	4	5	9	9
Rv1217c	27	11	16	27	27
Rv1218c	13	4	9	13	13
Rv1219c	11	4	7	11	10
Rv1220c	8	3	5	8	8
Rv1221	13	4	9	13	13
Rv1222	9	4	5	9	9
Rv1223	31	14	17	31	31
Rv1224	9	3	6	9	8
Rv1225c	13	5	8	12	12
Rv1226c	31	12	19	31	31
Rv1227c	12	3	9	12	12
Rv1228	13	3	10	13	13
Rv1228a	4	3	1	4	4
Rv1229c	12	2	10	12	12
Rv1230c	21	9	12	20	20
Rv1231c	9	3	6	9	9
Rv1232c	24	14	10	23	23
Rv1233c	7	2	5	7	7
Rv1234	4	1	3	4	4
Rv1235	11	3	8	11	11
Rv1236	10	3	7	9	9
Rv1237	9	3	6	9	9
Rv1238	9	6	3	9	9
Rv1239c	11	6	5	11	11
Rv1240	16	4	12	16	16
Rv1241	2	2	0	2	2
Rv1242	6	3	3	6	6
Rv1244	15	5	10	14	14
Rv1245c	20	6	14	20	20
Rv1246c	4	2	2	4	4
Rv1247c	3	2	1	3	3
Rv1248c	59	22	37	56	53
Rv1249c	21	5	16	20	20
Rv1250	32	8	24	32	31
Rv1251c	48	18	30	47	45
Rv1252c	4	1	3	4	4
Rv1253	21	6	15	21	21
Rv1254	11	7	4	11	11
Rv1255c	11	3	8	11	11
Rv1256c	20	6	14	19	19
Rv1257c	19	8	11	18	17
Rv1258c	20	9	11	20	19
Rv1259	11	5	6	11	11
Rv1260	13	4	9	13	12
Rv1261c	7	3	4	7	7
Rv1262c	9	1	8	9	9
Rv1263	20	7	13	20	19
Rv1264	27	11	16	27	27
Rv1265	7	1	6	7	7
Rv1266c	28	6	22	28	28
Rv1267c	12	3	9	12	12
Rv1268c	17	7	10	17	15
Rv1269c	7	2	5	7	7
Rv1270c	11	3	8	11	10
Rv1271c	8	3	5	8	8
Rv1272c	21	10	11	21	21
Rv1273c	33	11	22	32	31
Rv1274	1	0	1	1	1
Rv1275	7	2	5	7	7
Rv1276c	6	1	5	6	6
Rv1277	12	5	7	12	12
Rv1278	35	12	23	35	34
Rv1279	25	9	16	23	21
Rv1280c	28	12	16	28	28
Rv1281c	19	7	12	19	19
Rv1282c	11	8	3	11	11
Rv1283c	5	0	5	5	5
Rv1284	7	2	5	7	7
Rv1285	26	7	19	25	25
Rv1286	26	11	15	26	26
Rv1287	2	0	2	2	2
Rv1288	15	5	10	15	15
Rv1289	11	6	5	10	10
Rv1290c	31	11	20	31	30
Rv1290A	3	1	2	3	3
Rv1291c	6	2	4	6	6
Rv1292	22	13	9	22	22
Rv1293	11	4	7	11	11
Rv1294	17	9	8	17	16
Rv1295	11	5	6	11	11
Rv1296	13	6	7	13	13
Rv1297	17	9	8	16	15
Rv1298	3	1	2	3	3
Rv1299	17	8	9	16	16
Rv1301	7	4	3	7	7
Rv1302	13	10	3	13	13
Rv1303	4	1	3	4	4
Rv1304	14	5	9	14	14
Rv1305	3	3	0	3	3
Rv1306	10	1	9	10	10
Rv1307	21	7	14	21	20
Rv1308	16	8	8	16	16
Rv1309	16	6	10	16	14
Rv1310	15	8	7	15	15
Rv1311	6	2	4	6	6
Rv1312	6	4	2	6	6
Rv1314c	10	2	8	10	8
Rv1315	11	3	8	11	11
Rv1316c	12	6	6	12	12
Rv1317c	22	7	15	21	21
Rv1318c	25	7	18	25	24
Rv1319c	37	20	17	36	32
Rv1320c	49	13	36	48	48
Rv1321	7	1	6	7	7
Rv1322	4	2	2	4	4
Rv1322A	7	2	5	7	7
Rv1323	17	8	9	17	17
Rv1324	13	5	8	13	13
Rv1326c	25	14	11	23	23
Rv1327c	31	16	15	31	31
Rv1328	34	14	20	34	33
Rv1329c	29	11	18	28	28
Rv1330c	22	6	16	22	22
Rv1331	5	1	4	5	5
Rv1332	7	3	4	7	6
Rv1333	23	10	13	23	22
Rv1334	10	3	7	10	9
Rv1335	3	1	2	3	3
Rv1336	17	5	12	16	16
Rv1337	8	4	4	8	8
Rv1338	13	4	9	13	12
Rv1339	11	5	6	11	11
Rv1342c	6	2	4	6	6
Rv1343c	10	1	9	10	10
Rv1344	3	1	2	3	3
Rv1345	28	17	11	28	28
Rv1346	12	7	5	12	12
Rv1347c	8	5	3	8	8
Rv1348	31	13	18	30	30
Rv1349	16	7	9	16	16
Rv1350	15	5	10	15	14
Rv1351	7	2	5	7	7
Rv1352	6	2	4	6	6
Rv1353c	9	5	4	9	9
Rv1356c	11	3	8	11	10
Rv1357c	11	2	9	11	11
Rv1358	63	25	38	62	61
Rv1359	7	2	5	7	7
Rv1360	14	4	10	13	13
Rv1362c	10	6	4	10	10
Rv1363c	12	5	7	12	12
Rv1364c	22	6	16	22	21
Rv1365c	5	1	4	5	5
Rv1366	9	1	8	9	9
Rv1366A	3	3	0	3	3
Rv1367c	23	4	19	22	21
Rv1368	11	3	8	11	11
Rv1371	25	11	14	25	24
Rv1372	25	5	20	25	24
Rv1373	15	4	11	15	14
Rv1374c	13	3	10	13	12
Rv1375	22	5	17	22	22
Rv1376	25	12	13	24	23
Rv1377c	5	2	3	5	5
Rv1378c	34	9	25	32	32
Rv1379	5	1	4	5	5
Rv1380	14	6	8	14	14
Rv1381	16	7	9	16	15
Rv1382	8	4	4	8	8
Rv1383	13	3	10	13	13
Rv1384	47	21	26	47	47
Rv1385	6	4	2	6	6
Rv1388	8	3	5	8	8
Rv1389	14	8	6	14	14
Rv1390	2	1	1	2	2
Rv1391	22	8	14	22	20
Rv1392	25	9	16	25	24
Rv1393c	14	7	7	14	14
Rv1394c	19	7	12	19	19
Rv1395	14	4	10	14	14
Rv1397c	8	2	6	8	7
Rv1398c	9	2	7	9	8
Rv1399c	19	6	13	18	18
Rv1400c	13	4	9	12	12
Rv1401	9	7	2	9	9
Rv1402	36	15	21	36	33
Rv1403c	10	3	7	10	10
Rv1404	8	4	4	7	7
Rv1405c	17	9	8	17	17
Rv1406	21	7	14	21	21
Rv1407	26	13	13	26	26
Rv1408	9	3	6	9	9
Rv1409	11	4	7	10	10
Rv1410c	21	11	10	21	21
Rv1411c	9	3	6	9	9
Rv1412	6	1	5	6	6
Rv1413	9	3	6	9	9
Rv1414	11	4	7	11	11
Rv1415	9	4	5	9	9
Rv1416	9	3	6	9	9
Rv1417	9	0	9	9	8
Rv1418	6	3	3	6	6
Rv1419	9	3	6	9	9
Rv1420	30	8	22	30	29
Rv1421	16	5	11	15	14
Rv1422	16	9	7	16	16
Rv1423	21	4	17	21	21
Rv1424c	5	3	2	5	5
Rv1425	25	12	13	25	24
Rv1426c	24	10	14	24	24
Rv1427c	25	9	16	25	24
Rv1428c	12	6	6	12	12
Rv1429	24	9	15	24	24
Rv1431	33	12	21	33	33
Rv1432	12	7	5	12	12
Rv1433	12	7	5	12	12
Rv1436	14	12	2	14	14
Rv1437	18	8	10	18	18
Rv1438	9	7	2	8	8
Rv1439c	9	3	6	9	8
Rv1440	4	1	3	4	4
Rv1442	39	15	24	39	38
Rv1443c	10	2	8	10	10
Rv1444c	6	2	4	6	6
Rv1445c	15	5	10	15	15
Rv1446c	24	4	20	22	21
Rv1448c	9	3	6	9	9
Rv1449c	28	15	13	28	28
Rv1451	13	6	7	13	13
Rv1454c	14	5	9	14	14
Rv1455	15	5	10	15	15
Rv1456c	15	8	7	15	14
Rv1457c	6	6	0	6	6
Rv1458c	11	4	7	11	11
Rv1460	13	6	7	12	12
Rv1461	42	14	28	41	41
Rv1462	23	10	13	23	23
Rv1463	15	11	4	15	15
Rv1464	18	8	10	18	18
Rv1465	5	3	2	5	5
Rv1466	3	1	2	3	3
Rv1467c	23	8	15	23	23
Rv1469	42	14	28	40	40
Rv1470	7	4	3	7	7
Rv1471	3	1	2	3	3
Rv1472	19	9	10	17	17
Rv1473	26	8	18	26	26
Rv1473A	4	0	4	4	4
Rv1474c	4	1	3	4	4
Rv1475c	34	17	17	34	33
Rv1476	10	4	6	10	8
Rv1477	21	12	9	21	19
Rv1478	13	5	8	13	13
Rv1479	14	6	8	14	13
Rv1480	13	5	8	13	13
Rv1481	10	5	5	10	10
Rv1482c	19	5	14	19	19
Rv1483	16	12	4	8	8
Rv1484	20	7	13	17	17
Rv1485	18	8	10	15	15
Rv1486c	12	4	8	12	12
Rv1487	10	8	2	10	10
Rv1488	19	8	11	19	18
Rv1489	4	1	3	4	4
Rv1489A	3	2	1	3	3
Rv1490	34	8	26	33	32
Rv1491c	10	5	5	10	10
Rv1492	27	10	17	27	27
Rv1493	28	11	17	27	27
Rv1494	5	2	3	5	5
Rv1495	8	0	8	8	8
Rv1496	13	6	7	13	13
Rv1497	21	6	15	21	21
Rv1498c	18	7	11	18	18
Rv1498A	6	3	3	5	5
Rv1499	9	1	8	9	8
Rv1500	33	7	26	32	32
Rv1501	15	6	9	15	15
Rv1502	19	3	16	19	18
Rv1505c	14	3	11	14	14
Rv1506c	1	0	1	1	1
Rv1507c	15	4	11	15	15
Rv1507A	16	5	11	16	16
Rv1508c	28	11	17	28	27
Rv1508A	2	1	1	2	2
Rv1509	12	3	9	12	12
Rv1510	11	5	6	11	11
Rv1511	20	5	15	20	19
Rv1512	28	10	18	28	27
Rv1513	12	3	9	12	12
Rv1514c	11	3	8	11	11
Rv1515c	22	6	16	22	22
Rv1516c	20	5	15	20	19
Rv1517	12	4	8	12	11
Rv1518	13	2	11	13	13
Rv1519	8	4	4	8	8
Rv1520	19	9	10	19	18
Rv1521	28	7	21	28	28
Rv1522c	59	16	43	59	58
Rv1523	2	1	1	2	2
Rv1524	5	3	2	5	5
Rv1526c	22	4	18	22	22
Rv1527c	129	27	102	128	126
Rv1528c	4	2	2	4	4
Rv1529	28	11	17	28	27
Rv1530	20	2	18	20	20
Rv1531	11	2	9	11	11
Rv1532c	6	2	4	5	5
Rv1533	9	1	8	9	9
Rv1534	13	4	9	12	12
Rv1535	5	2	3	5	5
Rv1536	59	22	37	59	57
Rv1537	24	7	17	24	24
Rv1538c	19	6	13	19	19
Rv1539	5	2	3	5	5
Rv1540	9	2	7	9	9
Rv1541c	9	3	6	9	9
Rv1542c	4	1	3	4	4
Rv1543	16	4	12	15	15
Rv1544	9	2	7	9	9
Rv1545	2	1	1	2	2
Rv1546	7	3	4	7	7
Rv1547	38	17	21	37	37
Rv1550	24	8	16	24	24
Rv1551	40	11	29	40	39
Rv1552	35	8	27	35	34
Rv1553	10	4	6	10	10
Rv1554	6	2	4	5	5
Rv1555	7	3	4	7	7
Rv1556	15	5	10	15	14
Rv1557	20	4	16	20	20
Rv1558	7	3	4	7	7
Rv1559	18	5	13	17	17
Rv1560	1	0	1	1	1
Rv1561	7	2	5	7	6
Rv1562c	30	8	22	30	29
Rv1563c	29	15	14	29	29
Rv1564c	34	13	21	33	33
Rv1565c	28	7	21	28	27
Rv1566c	10	5	5	10	10
Rv1567c	8	0	8	8	7
Rv1568	12	5	7	12	12
Rv1569	16	9	7	16	16
Rv1570	10	2	8	10	9
Rv1571	9	4	5	9	9
Rv1589	8	4	4	8	8
Rv1590	4	2	2	4	4
Rv1591	17	7	10	16	16
Rv1592c	25	16	9	24	24
Rv1593c	13	6	7	13	12
Rv1594	13	9	4	13	13
Rv1595	26	8	18	23	23
Rv1596	13	8	5	13	13
Rv1597	13	3	10	13	12
Rv1598c	6	2	4	6	6
Rv1599	20	10	10	20	20
Rv1600	15	8	7	15	15
Rv1601	12	7	5	12	12
Rv1602	9	2	7	9	9
Rv1603	19	10	9	19	19
Rv1604	14	7	7	14	13
Rv1605	12	2	10	11	11
Rv1606	5	0	5	5	5
Rv1607	9	2	7	9	9
Rv1608c	3	2	1	3	3
Rv1609	26	12	14	25	24
Rv1610	11	3	8	11	11
Rv1611	5	1	4	5	5
Rv1612	16	8	8	16	16
Rv1613	11	3	8	11	9
Rv1614	18	6	12	18	17
Rv1615	8	3	5	8	8
Rv1616	4	0	4	4	4
Rv1617	22	10	12	22	21
Rv1618	9	1	8	9	9
Rv1619	26	13	13	25	25
Rv1620c	18	7	11	18	18
Rv1621c	17	10	7	17	17
Rv1622c	12	5	7	12	11
Rv1623c	13	4	9	13	13
Rv1624c	13	5	8	13	13
Rv1625c	28	9	19	28	28
Rv1626	10	5	5	10	10
Rv1627c	17	7	10	17	16
Rv1629	46	15	31	44	41
Rv1630	23	5	18	22	22
Rv1631	17	5	12	17	17
Rv1632c	4	1	3	4	4
Rv1633	39	15	24	38	37
Rv1634	22	11	11	20	20
Rv1635c	19	6	13	19	19
Rv1636	8	1	7	8	8
Rv1637c	12	7	5	12	12
Rv1638	45	18	27	45	45
Rv1638A	2	0	2	2	2
Rv1639c	24	9	15	24	23
Rv1640c	51	22	29	50	49
Rv1641	7	1	6	7	7
Rv1642	3	2	1	3	3
Rv1643	4	3	1	4	4
Rv1644	18	10	8	18	17
Rv1645c	14	6	8	12	12
Rv1647	14	6	8	14	14
Rv1648	14	7	7	14	14
Rv1649	9	2	7	9	9
Rv1650	48	22	26	48	47
Rv1652	9	3	6	9	9
Rv1653	17	9	8	16	15
Rv1654	11	2	9	11	11
Rv1655	16	6	10	15	15
Rv1656	15	5	10	15	15
Rv1657	8	3	5	8	8
Rv1658	22	14	8	22	22
Rv1659	15	9	6	15	15
Rv1660	23	7	16	22	22
Rv1661	117	34	83	116	113
Rv1662	119	30	89	118	115
Rv1663	32	10	22	32	32
Rv1664	53	14	39	53	51
Rv1665	27	9	18	26	25
Rv1666c	16	4	12	16	16
Rv1669	7	1	6	6	6
Rv1670	11	2	9	11	10
Rv1671	9	4	5	9	9
Rv1674c	12	5	7	12	12
Rv1675c	12	2	10	12	12
Rv1676	21	9	12	21	21
Rv1677	9	4	5	9	9
Rv1678	15	10	5	14	14
Rv1679	16	4	12	16	16
Rv1680	14	4	10	14	14
Rv1681	13	5	8	12	12
Rv1682	14	6	8	14	14
Rv1683	27	11	16	26	24
Rv1684	4	2	2	4	3
Rv1685c	5	3	2	5	5
Rv1686c	11	4	7	11	11
Rv1687c	20	5	15	20	19
Rv1688	4	1	3	4	4
Rv1689	18	8	10	18	18
Rv1690	8	5	3	8	8
Rv1691	13	5	8	13	13
Rv1692	9	3	6	9	9
Rv1693	3	1	2	3	3
Rv1694	15	8	7	14	14
Rv1695	16	7	9	15	14
Rv1696	20	7	13	20	19
Rv1697	7	3	4	7	7
Rv1698	11	6	5	11	11
Rv1699	32	10	22	32	31
Rv1700	9	1	8	9	9
Rv1701	9	5	4	9	8
Rv1703c	9	4	5	9	8
Rv1704c	30	9	21	28	28
Rv1706A	2	0	2	2	2
Rv1707	19	7	12	19	19
Rv1708	10	7	3	10	10
Rv1710	9	3	6	9	9
Rv1711	13	6	7	13	13
Rv1712	8	2	6	8	8
Rv1713	16	8	8	16	16
Rv1714	17	6	11	17	17
Rv1715	21	8	13	21	21
Rv1716	19	6	13	19	19
Rv1718	20	8	12	20	20
Rv1719	14	6	8	14	14
Rv1720c	9	1	8	9	8
Rv1721c	1	0	1	1	1
Rv1722	30	11	19	30	29
Rv1723	20	7	13	20	20
Rv1724c	9	1	8	9	9
Rv1725c	13	7	6	13	13
Rv1726	33	11	22	33	33
Rv1727	9	3	6	9	9
Rv1728c	17	4	13	17	17
Rv1729c	11	4	7	11	11
Rv1730c	30	6	24	30	30
Rv1731	5	1	4	5	5
Rv1732c	11	5	6	11	11
Rv1733c	13	4	9	12	12
Rv1734c	6	0	6	6	6
Rv1735c	19	4	15	19	18
Rv1735a	2	0	2	2	2
Rv1736c	37	15	22	37	36
Rv1737c	24	8	16	24	24
Rv1738	7	1	6	7	7
Rv1739c	32	8	24	30	28
Rv1740	2	0	2	2	2
Rv1741	5	2	3	5	5
Rv1742	18	7	11	18	18
Rv1743	26	12	14	26	25
Rv1744c	6	2	4	6	6
Rv1745c	11	4	7	11	11
Rv1746	16	7	9	16	16
Rv1747	35	15	20	34	34
Rv1748	9	4	5	9	9
Rv1749c	8	5	3	8	8
Rv1750c	30	5	25	30	29
Rv1751	29	12	17	29	28
Rv1752	9	3	6	9	9
Rv1754c	17	5	12	17	17
Rv1767	4	2	2	4	4
Rv1769	19	8	11	17	17
Rv1770	20	4	16	20	19
Rv1771	23	10	13	22	21
Rv1772	5	2	3	5	4
Rv1773c	19	6	13	19	19
Rv1774	32	6	26	32	30
Rv1775	16	2	14	16	16
Rv1776c	15	2	13	15	15
Rv1777	22	8	14	21	21
Rv1778c	5	0	5	5	4
Rv1779c	38	11	27	38	36
Rv1780	5	3	2	5	5
Rv1781c	32	10	22	32	32
Rv1782	14	11	3	14	14
Rv1783	47	30	17	46	46
Rv1785c	18	6	12	18	18
Rv1786	4	1	3	4	4
Rv1793	50	35	15	19	18
Rv1794	7	2	5	7	7
Rv1795	21	10	11	20	20
Rv1796	26	13	13	26	24
Rv1797	25	7	18	25	25
Rv1798	21	11	10	21	21
Rv1799	4	3	1	4	4
Rv1804c	7	2	5	7	7
Rv1805c	10	3	7	10	9
Rv1810	4	0	4	4	4
Rv1811	13	3	10	13	12
Rv1812c	16	4	12	16	16
Rv1813c	5	2	3	5	5
Rv1814	22	6	16	22	21
Rv1815	22	8	14	20	17
Rv1816	9	3	6	9	9
Rv1817	22	9	13	22	21
Rv1819c	21	8	13	19	19
Rv1820	14	5	9	14	14
Rv1821	27	11	16	27	25
Rv1822	14	4	10	14	14
Rv1823	18	6	12	18	18
Rv1824	8	5	3	8	8
Rv1825	11	3	8	11	11
Rv1826	6	2	4	6	6
Rv1827	5	4	1	5	5
Rv1828	16	7	9	16	16
Rv1829	9	5	4	9	9
Rv1830	28	5	23	22	20
Rv1831	1	0	1	1	1
Rv1832	33	15	18	32	31
Rv1833c	17	1	16	17	17
Rv1834	8	2	6	8	8
Rv1835c	38	12	26	38	37
Rv1836c	29	9	20	29	28
Rv1837c	31	12	19	30	30
Rv1838c	6	2	4	6	6
Rv1841c	12	3	9	12	12
Rv1842c	21	11	10	20	20
Rv1843c	14	6	8	14	14
Rv1844c	30	10	20	30	30
Rv1845c	15	6	9	15	15
Rv1846c	14	5	9	14	13
Rv1847	5	1	4	5	5
Rv1848	4	0	4	4	4
Rv1849	5	2	3	5	5
Rv1850	36	12	24	35	34
Rv1851	13	7	6	13	13
Rv1852	11	4	7	11	11
Rv1853	9	3	6	9	9
Rv1854c	20	5	15	19	19
Rv1855c	18	3	15	18	18
Rv1856c	6	1	5	6	6
Rv1857	14	5	9	14	13
Rv1858	6	3	3	6	6
Rv1859	15	7	8	14	14
Rv1860	19	6	13	18	17
Rv1861	7	1	6	7	7
Rv1862	17	6	11	17	16
Rv1863c	15	7	8	15	15
Rv1864c	12	4	8	12	12
Rv1865c	14	6	8	14	14
Rv1866	26	9	17	26	25
Rv1867	22	6	16	19	19
Rv1868	35	10	25	35	34
Rv1869c	14	4	10	14	14
Rv1870c	16	5	11	16	16
Rv1871c	9	2	7	8	8
Rv1872c	49	18	31	22	21
Rv1873	24	11	13	13	12
Rv1874	16	4	12	15	15
Rv1875	7	2	5	7	7
Rv1876	6	3	3	6	6
Rv1877	38	15	23	37	36
Rv1881c	6	1	5	5	5
Rv1882c	15	5	10	13	12
Rv1883c	10	1	9	9	9
Rv1884c	6	1	5	6	6
Rv1885c	15	2	13	15	15
Rv1886c	16	8	8	15	15
Rv1887	25	12	13	24	24
Rv1890c	9	2	7	9	9
Rv1891	6	1	5	6	6
Rv1892	5	3	2	5	5
Rv1893	7	1	6	7	7
Rv1894c	19	6	13	19	19
Rv1895	17	4	13	17	17
Rv1896c	22	8	14	20	19
Rv1897c	10	2	8	10	10
